min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5456,85535,10322.013333333334,8510.0,20425.6,37278.289999999986,5956.160961404213,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5162,117137,10032.159166666666,8055.5,20201.849999999984,32918.99999999997,6269.334233965036,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4655,73954,9325.674166666666,7776.5,18059.39999999998,29231.679999999997,4864.0321237973585,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4518,117691,9431.159233013756,7657.0,20108.399999999994,32828.23999999999,6245.5895924821325,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4756,220685,10556.24875,8433.5,21297.64999999999,39473.199999999924,8999.62555796296,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4372,56431,8974.76396997498,7509.0,18482.3,32475.88000000004,4834.7273124922,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
4333,120298,9174.819978632479,7397.0,19911.949999999993,33283.34000000001,5964.802762531572,62.4,62.4,3744,target_rps60.00_iter01_rps62.40_lat.csv
4237,99913,9195.991462113127,7444.5,20003.799999999967,33518.2299999999,5837.421387213835,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter02_rps62.47_lat.csv
4395,88122,9801.285904965296,7897.5,21673.25,34289.750000000065,5907.417135446917,62.43333333333333,62.43333333333333,3746,target_rps60.00_iter03_rps62.43_lat.csv
3783,118134,9467.39766317486,7420.5,21544.54999999999,37209.80999999999,6498.412284999202,82.73333333333333,82.73333333333333,4964,target_rps80.00_iter01_rps82.73_lat.csv
3926,100222,9395.945586457074,7410.0,21337.44999999999,34455.25000000002,6245.103132123294,82.7,82.7,4962,target_rps80.00_iter02_rps82.70_lat.csv
3908,108340,9022.498795180723,7097.0,19954.350000000002,37379.600000000006,6662.0884567393905,83.0,83.0,4980,target_rps80.00_iter03_rps82.97_lat.csv
3779,189956,9322.328845506563,7103.0,21210.24999999999,38267.770000000004,7929.03970472363,99.03333333333333,99.03333333333333,5942,target_rps100.00_iter01_rps99.03_lat.csv
3427,155541,9553.950538358007,7217.5,22154.849999999988,42270.71,7982.3757303647635,99.06666666666666,99.06666666666666,5944,target_rps100.00_iter02_rps99.07_lat.csv
3742,113567,9406.558972625888,7252.5,21976.549999999996,36830.66999999999,6785.784427851392,98.63333333333334,98.63333333333334,5918,target_rps100.00_iter03_rps98.63_lat.csv
3415,260384,9705.49979661017,7035.0,21831.89999999996,46197.40000000001,10981.48895260735,122.91666666666667,122.91666666666667,7375,target_rps120.00_iter01_rps122.91_lat.csv
