rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_b2,3,1200.0,0.0,1200,1200,5091.0,405.19254682187824,4655,5456,92208.66666666667,22351.64965574875,73954,117137,9893.282222222222,512.4822319185093,9325.674166666666,10322.013333333334,8114.0,370.23269709737957,7776.5,8510.0,19562.283333333322,1306.3344712719452,18059.39999999998,20425.6,33142.98999999998,4027.9786199904247,29231.679999999997,37278.289999999986,20.0,0.0,20.0,20.0,1200.0,5091.0,92208.66666666667,9893.282222222222,8114.0,19562.283333333322,33142.98999999998,20.0
40,60,fibonacci_nodejs_b2,3,2399.0,1.0,2398,2400,4548.666666666667,193.82810253761792,4372,4756,131602.33333333334,83005.95174644608,56431,220685,9654.057317662911,813.9632635861977,8974.76396997498,10556.24875,7866.5,496.5810608551236,7509.0,8433.5,19962.78333333333,1413.3124445193712,18482.3,21297.64999999999,34925.773333333316,3942.125867971862,32475.88000000004,39473.199999999924,39.983333333333334,0.01666666666666572,39.96666666666667,40.0,2399.0,4548.666666666667,131602.33333333334,9654.057317662911,7866.5,19962.78333333333,34925.773333333316,39.983333333333334
60,60,fibonacci_nodejs_b2,3,3746.0,2.0,3744,3748,4321.666666666667,79.60736984308258,4237,4395,102777.66666666667,16278.159611372943,88122,120298,9390.699115236966,355.73612671860326,9174.819978632479,9801.285904965296,7579.666666666667,276.2744710126749,7397.0,7897.5,20529.666666666653,991.4364507286158,19911.949999999993,21673.25,33697.10666666666,526.5101313682246,33283.34000000001,34289.750000000065,62.43333333333334,0.03333333333333499,62.4,62.46666666666667,3746.0,4321.666666666667,102777.66666666667,9390.699115236966,7579.666666666667,20529.666666666653,33697.10666666666,62.43333333333334
80,60,fibonacci_nodejs_b2,3,4968.666666666667,9.865765724632496,4962,4980,3872.3333333333335,77.8866698051299,3783,3926,108898.66666666667,8969.058887828383,100222,118134,9295.28068160422,238.9222007001267,9022.498795180723,9467.39766317486,7309.166666666667,183.81671124610335,7097.0,7420.5,20945.449999999993,864.5415027631623,19954.350000000002,21544.54999999999,36348.22000000001,1641.5567997178644,34455.25000000002,37379.600000000006,82.81111111111112,0.16442942874387373,82.7,83.0,4968.666666666667,3872.3333333333335,108898.66666666667,9295.28068160422,7309.166666666667,20945.449999999993,36348.22000000001,82.81111111111112
100,60,fibonacci_nodejs_b2,3,5934.666666666667,14.46835627614047,5918,5944,3649.3333333333335,193.43302027661494,3427,3779,153021.33333333334,38256.782017484606,113567,189956,9427.61278549682,117.2373636139321,9322.328845506563,9553.950538358007,7191.0,78.1936698205168,7103.0,7252.5,21780.549999999992,501.8757714813505,21210.24999999999,22154.849999999988,39123.049999999996,2819.0666379495206,36830.66999999999,42270.71,98.91111111111111,0.2411392712690023,98.63333333333334,99.06666666666666,5934.666666666667,3649.3333333333335,153021.33333333334,9427.61278549682,7191.0,21780.549999999992,39123.049999999996,98.91111111111111
120,60,fibonacci_nodejs_b2,3,7373.666666666667,7.094598884597588,7366,7380,3629.0,185.39687160251654,3415,3741,191503.0,60633.63775166389,146200,260384,9633.390268782428,249.46809206752803,9355.810162601627,9838.860847135487,7087.833333333333,96.31242564349282,7029.5,7199.0,22374.116666666654,1254.2433319868026,21482.199999999997,23808.25,42969.07666666669,3605.435516637813,39078.380000000005,46197.40000000001,122.89444444444445,0.11824331474329408,122.76666666666667,123.0,7373.666666666667,3629.0,191503.0,9633.390268782428,7087.833333333333,22374.116666666654,42969.07666666669,122.89444444444445
140,60,fibonacci_nodejs_b2,3,8395.0,16.46207763315433,8376,8405,3612.3333333333335,64.25988899253821,3563,3685,183172.66666666666,85964.39126366994,96378,268282,10010.951020003195,690.1283940028309,9384.338172298905,10750.631052944676,7440.833333333333,484.01093307210874,6882.0,7727.0,23271.166666666668,1592.2639325291955,21983.649999999994,25051.6,47048.88333333302,7126.554924676348,39576.25,53769.75999999934,139.91666666666666,0.2743679605525773,139.6,140.08333333333334,8395.0,3612.3333333333335,183172.66666666666,10010.951020003195,7440.833333333333,23271.166666666668,47048.88333333302,139.91666666666666
160,60,fibonacci_nodejs_b2,3,9684.333333333334,25.423086620891127,9655,9700,3488.6666666666665,136.63942817991202,3334,3593,137204.0,46447.79683687914,106265,190614,9612.99181811623,83.47865857101489,9519.486907216495,9680.025056712724,7057.166666666667,119.89613560633777,6920.0,7142.0,23341.49999999998,658.579289076109,22688.899999999998,24005.899999999987,45017.59666666673,1972.3323723535377,42956.659999999894,46887.410000000076,161.40555555555554,0.4237181103481859,160.91666666666666,161.66666666666666,9684.333333333334,3488.6666666666665,137204.0,9612.99181811623,7057.166666666667,23341.49999999998,45017.59666666673,161.40555555555554
180,60,fibonacci_nodejs_b2,3,11523.666666666666,24.986663109213552,11502,11551,3328.0,90.7028114227999,3247,3426,200599.33333333334,26704.097369754574,175329,228537,10582.98739478677,351.1595643556569,10352.096284077097,10987.10233002956,7358.0,155.4734704057255,7210.0,7520.0,26954.149999999994,1678.5338609929693,25960.799999999996,28892.14999999998,56024.73333333333,2711.157952486966,53594.5,58948.899999999994,192.06111111111113,0.41644438515357113,191.7,192.51666666666668,11523.666666666666,3328.0,200599.33333333334,10582.98739478677,7358.0,26954.149999999994,56024.73333333333,192.06111111111113
200,60,fibonacci_nodejs_b2,3,11541.0,3.605551275463989,11538,11545,3225.3333333333335,44.50093631973751,3181,3270,179967.0,64310.48428522367,122700,249542,10226.189881422239,358.3771279947881,9823.258293633608,10509.318197573657,7242.333333333333,195.50021312861358,7047.0,7438.0,25422.99999999998,826.1256336054462,24514.999999999985,26130.249999999993,51627.27333333334,4393.312813177931,46900.67999999997,55586.08999999997,192.35,0.060092521257721854,192.3,192.41666666666666,11541.0,3225.3333333333335,179967.0,10226.189881422239,7242.333333333333,25422.99999999998,51627.27333333334,192.35
