min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5009,47248,8908.733333333334,7554.5,17051.14999999999,31720.549999999996,4673.199028918936,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4958,122738,8938.873333333333,7308.5,18027.85,32343.6,6490.671146393278,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5300,84507,8500.066666666668,6964.0,16816.199999999997,33154.17999999999,5537.571492891888,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4438,80228,8739.357828810022,7141.0,17644.599999999988,35887.75999999995,5964.8403126193,39.916666666666664,39.916666666666664,2395,target_rps40.00_iter01_rps39.92_lat.csv
4361,103991,9031.54105877449,7271.0,18688.199999999986,38348.34,6797.457644901142,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter02_rps39.98_lat.csv
4200,78995,8764.036325678497,7323.0,17541.999999999996,30403.099999999988,4851.656969212262,39.916666666666664,39.916666666666664,2395,target_rps40.00_iter03_rps39.92_lat.csv
4000,75600,8720.149038461539,6822.5,19693.549999999996,35757.770000000026,6125.956310109015,62.4,62.4,3744,target_rps60.00_iter01_rps62.39_lat.csv
3810,108629,8006.520588235294,6369.5,16940.35,30695.370000000054,5747.4943856616765,62.333333333333336,62.333333333333336,3740,target_rps60.00_iter02_rps62.33_lat.csv
4252,74063,8287.45473965287,6501.0,18470.999999999993,34473.2,5813.8719148324035,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter03_rps62.42_lat.csv
3620,157762,9457.472489959839,6284.5,23939.350000000002,68924.68000000002,11690.460668563028,83.0,83.0,4980,target_rps80.00_iter01_rps83.00_lat.csv
3844,78294,8512.711499798954,6379.0,20605.199999999993,40631.9699999999,6746.415385393361,82.9,82.9,4974,target_rps80.00_iter02_rps82.90_lat.csv
3645,161480,9238.416767432487,6472.5,23555.8,55442.64000000012,9732.488414213203,82.7,82.7,4962,target_rps80.00_iter03_rps82.70_lat.csv
3650,208415,10145.1539237103,6171.0,29280.0,68567.0,13782.45059043454,99.18333333333334,99.18333333333334,5951,target_rps100.00_iter01_rps99.18_lat.csv
3427,195900,11594.203809844908,6212.5,39994.84999999999,90357.94999999994,16348.94919976137,98.86666666666666,98.86666666666666,5932,target_rps100.00_iter02_rps98.87_lat.csv
3432,284732,10352.37397145256,6103.0,29595.600000000006,80768.92000000003,14799.305088822059,99.25,99.25,5955,target_rps100.00_iter03_rps99.25_lat.csv
3024,289851,22617.988779234824,7281.0,100088.59999999999,156476.39999999997,33044.68759460794,123.28333333333333,123.28333333333333,7397,target_rps120.00_iter01_rps123.28_lat.csv
3279,567484,46466.53630071923,15793.0,179221.1999999999,270875.36,60374.30925177803,122.81666666666666,122.81666666666666,7369,target_rps120.00_iter02_rps122.81_lat.csv
3656,598275,52910.741243551456,13353.0,257219.25,315055.6000000001,79149.19361366244,122.76666666666667,122.76666666666667,7366,target_rps120.00_iter03_rps122.76_lat.csv
4011,7193951,2314066.7605975484,2622753.0,3543248.3,3687343.0699999994,956860.8939250932,130.53333333333333,130.53333333333333,7832,target_rps140.00_iter01_rps130.53_lat.csv
4037,3552974,1033174.1971379225,1062208.0,1789096.0,1863705.55,646665.9885122632,135.1,135.1,8106,target_rps140.00_iter02_rps135.10_lat.csv
4073,3608276,858601.4731749143,810238.5,1810786.25,1896818.51,595032.8333774471,136.06666666666666,136.06666666666666,8164,target_rps140.00_iter03_rps136.07_lat.csv
3898,16664168,4697820.765801973,4351495.0,8894374.0,9130823.5,2752091.4426146005,136.85,136.85,8211,target_rps160.00_iter01_rps136.87_lat.csv
4169,18133252,4826284.4187608855,4388172.0,9638760.4,10209613.99,2962916.5772858374,133.96666666666667,133.96666666666667,8038,target_rps160.00_iter02_rps133.97_lat.csv
3499,18602539,5183546.527229578,5342281.0,9565298.0,10252619.9,2969362.2418806823,133.43333333333334,133.43333333333334,8006,target_rps160.00_iter03_rps133.43_lat.csv
4240,30005149,8692338.453810185,7985714.0,17856407.6,18473844.0,5699776.489526147,131.88333333333333,131.88333333333333,7913,target_rps180.00_iter01_rps131.80_lat.csv
4416,30006100,8883575.767995987,8903358.0,17234964.3,18086106.279999997,5533925.4731275,132.9,132.9,7974,target_rps180.00_iter02_rps132.85_lat.csv
4928,28176984,8676998.500556037,9044813.0,16487066.6,17109098.76,5056912.671921748,134.88333333333333,134.88333333333333,8093,target_rps180.00_iter03_rps134.88_lat.csv
4260,30006078,9454730.349049332,9267769.0,18570769.9,19356590.64,5459841.852483494,129.73333333333332,129.73333333333332,7784,target_rps200.00_iter01_rps129.62_lat.csv
4419,30006574,9691142.585394429,10140101.5,18765471.3,19685471.07,6021529.705097019,128.03333333333333,128.03333333333333,7682,target_rps200.00_iter02_rps127.92_lat.csv
