rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_a1,3,1200.0,0.0,1200,1200,5089.0,184.50203250912983,4958,5300,84831.0,37746.04293167696,47248,122738,8782.557777777778,245.10819201444968,8500.066666666668,8938.873333333333,7275.666666666667,296.61605373501504,6964.0,7554.5,17298.399999999994,642.5522177224219,16816.199999999997,18027.85,32406.109999999997,718.856292523059,31720.549999999996,33154.17999999999,20.0,0.0,20.0,20.0,1200.0,5089.0,84831.0,8782.557777777778,7275.666666666667,17298.399999999994,32406.109999999997,20.0
40,60,fibonacci_python_a1,3,2396.3333333333335,2.309401076758503,2395,2399,4333.0,121.4454610102823,4200,4438,87738.0,14089.005607210183,78995,103991,8844.978404421003,162.03849867079705,8739.357828810022,9031.54105877449,7245.0,93.74433316206373,7141.0,7323.0,17958.26666666666,634.2189632400853,17541.999999999996,18688.199999999986,34879.733333333315,4067.4067887209567,30403.099999999988,38348.34,39.93888888888889,0.038490017945976965,39.916666666666664,39.983333333333334,2396.3333333333335,4333.0,87738.0,8844.978404421003,7245.0,17958.26666666666,34879.733333333315,39.93888888888889
60,60,fibonacci_python_a1,3,3743.0,2.6457513110645907,3740,3745,4020.6666666666665,221.72355159823084,3810,4252,86097.33333333333,19528.12316463959,74063,108629,8338.0414554499,359.4936064861589,8006.520588235294,8720.149038461539,6564.333333333333,233.04631156346014,6369.5,6822.5,18368.299999999996,1379.470198119552,16940.35,19693.549999999996,33642.11333333336,2631.539896264776,30695.370000000054,35757.770000000026,62.38333333333333,0.04409585518440734,62.333333333333336,62.416666666666664,3743.0,4020.6666666666665,86097.33333333333,8338.0414554499,6564.333333333333,18368.299999999996,33642.11333333336,62.38333333333333
80,60,fibonacci_python_a1,3,4972.0,9.16515138991168,4962,4980,3703.0,122.74770873625299,3620,3844,132512.0,46990.95151196664,78294,161480,9069.533585730425,494.5042759459237,8512.711499798954,9457.472489959839,6378.666666666667,94.00044326136623,6284.5,6472.5,22700.116666666665,1824.3586628822056,20605.199999999993,23939.350000000002,54999.76333333334,14151.553433896759,40631.9699999999,68924.68000000002,82.86666666666667,0.15275252316519375,82.7,83.0,4972.0,3703.0,132512.0,9069.533585730425,6378.666666666667,22700.116666666665,54999.76333333334,82.86666666666667
100,60,fibonacci_python_a1,3,5946.0,12.288205727444508,5932,5955,3503.0,127.33027919548437,3427,3650,229682.33333333334,48083.31993876186,195900,284732,10697.243901669257,783.6694741422762,10145.1539237103,11594.203809844908,6162.166666666667,55.28185356274998,6103.0,6212.5,32956.816666666666,6097.158005237625,29280.0,39994.84999999999,79897.95666666667,10921.5524684741,68567.0,90357.94999999994,99.10000000000001,0.20480342879074634,98.86666666666666,99.25,5946.0,3503.0,229682.33333333334,10697.243901669257,6162.166666666667,32956.816666666666,79897.95666666667,99.10000000000001
120,60,fibonacci_python_a1,3,7377.333333333333,17.09775813764288,7366,7397,3319.6666666666665,317.95649597599567,3024,3656,485203.3333333333,169879.139461952,289851,598275,40665.08877450183,15957.92304830678,22617.988779234824,52910.741243551456,12142.333333333334,4383.243243687639,7281.0,15793.0,178843.0166666666,78566.00765808858,100088.59999999999,257219.25,247469.12000000002,81839.658609767,156476.39999999997,315055.6000000001,122.95555555555556,0.28496263562738144,122.76666666666667,123.28333333333333,7377.333333333333,3319.6666666666665,485203.3333333333,40665.08877450183,12142.333333333334,178843.0166666666,247469.12000000002,122.95555555555556
140,60,fibonacci_python_a1,3,8034.0,177.32456118654292,7832,8164,4040.3333333333335,31.13411847689498,4011,4073,4785067.0,2086337.9812228412,3552974,7193951,1401947.4769701285,794726.4307053809,858601.4731749143,2314066.7605975484,1498399.8333333333,981834.8587097442,810238.5,2622753.0,2381043.5166666666,1006557.2937187557,1789096.0,3543248.3,2482622.3766666665,1043450.0844502099,1863705.55,3687343.0699999994,133.9,2.955409353109047,130.53333333333333,136.06666666666666,8034.0,4040.3333333333335,4785067.0,1401947.4769701285,1498399.8333333333,2381043.5166666666,2482622.3766666665,133.9
160,60,fibonacci_python_a1,3,8085.0,110.28599185753374,8006,8211,3855.3333333333335,337.031650343604,3499,4169,17799986.333333332,1011246.7734654748,16664168,18602539,4902550.570597478,251683.87565670258,4697820.765801973,5183546.527229578,4693982.666666667,561742.2427896387,4351495.0,5342281.0,9366144.133333333,410212.7193084747,8894374.0,9638760.4,9864352.463333333,635618.5429252267,9130823.5,10252619.9,134.75,1.8380998642922242,133.43333333333334,136.85,8085.0,3855.3333333333335,17799986.333333332,4902550.570597478,4693982.666666667,9366144.133333333,9864352.463333333,134.75
180,60,fibonacci_python_a1,3,7993.333333333333,91.54416056381386,7913,8093,4528.0,357.4129264590188,4240,4928,29396077.666666668,1055766.192004808,28176984,30006100,8750970.90745407,115095.02735116701,8676998.500556037,8883575.767995987,8644628.333333334,575003.0028272317,7985714.0,9044813.0,17192812.833333336,685642.948754572,16487066.6,17856407.6,17889683.013333336,703255.9756530093,17109098.76,18473844.0,133.2222222222222,1.5257360093968964,131.88333333333333,134.88333333333333,7993.333333333333,4528.0,29396077.666666668,8750970.90745407,8644628.333333334,17192812.833333336,17889683.013333336,133.2222222222222
200,60,fibonacci_python_a1,3,7804.0,133.13151392514095,7682,7946,4298.333333333333,106.79107328486465,4216,4419,30008892.666666668,4452.5091053622045,30006078,30014026,9503971.302294241,168051.38587322607,9366040.972438963,9691142.585394429,9796610.833333334,464765.8430624859,9267769.0,10140101.5,18383743.816666666,502083.2834177322,17814990.25,18765471.3,19173817.80333333,623467.155552147,18479391.7,19685471.07,130.06666666666666,2.21885856541902,128.03333333333333,132.43333333333334,7804.0,4298.333333333333,30008892.666666668,9503971.302294241,9796610.833333334,18383743.816666666,19173817.80333333,130.06666666666666
