min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4914,49244,9499.77,8026.0,20317.649999999994,33230.84,5073.4169874717245,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4753,118612,10643.04,8750.0,21264.499999999978,35975.06,6571.407754436386,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5180,52258,9499.63,8100.5,18347.69999999997,31670.639999999992,4784.621903358718,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3978,56642,8789.34264276782,7364.0,18471.699999999997,32080.359999999982,5036.846910483255,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4098,69214,8771.816173405585,7310.0,18670.299999999996,32018.48,5221.690930791688,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter02_rps39.98_lat.csv
4103,110813,9893.215,7933.0,21252.04999999999,44871.939999999886,7695.930367599597,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3613,117527,9320.21878335112,7127.5,21683.149999999965,41482.789999999986,7818.747458772763,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter01_rps62.47_lat.csv
3463,120748,9137.204321152307,7145.0,20754.0,37287.479999999996,7004.505006882003,62.483333333333334,62.483333333333334,3749,target_rps60.00_iter02_rps62.48_lat.csv
4011,163213,9741.761676007472,7176.0,22207.899999999994,60694.49999999997,10629.956551193958,62.45,62.45,3747,target_rps60.00_iter03_rps62.45_lat.csv
3694,211445,9951.065261044178,7063.5,22566.400000000005,54473.41000000003,12741.05620948637,83.0,83.0,4980,target_rps80.00_iter01_rps83.00_lat.csv
3469,223647,9925.480433473811,6884.0,24065.899999999972,54824.880000000034,12533.803785383434,83.05,83.05,4983,target_rps80.00_iter02_rps83.05_lat.csv
3627,100718,9590.497686582177,7236.0,23708.0,43528.30000000001,7611.652691616445,82.85,82.85,4971,target_rps80.00_iter03_rps82.85_lat.csv
3550,203515,11070.080101180438,7280.0,29659.300000000003,67801.84,12897.846818962533,98.83333333333333,98.83333333333333,5930,target_rps100.00_iter01_rps98.83_lat.csv
3462,226265,10639.305821170945,6816.0,27746.0,72837.39999999967,14315.235024698744,99.35,99.35,5961,target_rps100.00_iter02_rps99.35_lat.csv
3547,200306,12116.814297729185,7507.0,34243.00000000001,85440.12000000018,15450.72830372046,99.08333333333333,99.08333333333333,5945,target_rps100.00_iter03_rps99.08_lat.csv
3214,202210,16554.650901206125,8369.0,59517.5,109009.42000000017,20894.34434146344,122.98333333333333,122.98333333333333,7379,target_rps120.00_iter01_rps122.98_lat.csv
3301,183332,13814.074014046462,7431.0,47015.29999999994,88614.87000000007,16586.72454439863,123.4,123.4,7404,target_rps120.00_iter02_rps123.40_lat.csv
3414,179827,14488.205107417916,7710.0,48369.0,93555.0,17571.835834553352,123.35,123.35,7401,target_rps120.00_iter03_rps123.35_lat.csv
3261,196324,20375.594662218515,10701.0,63478.799999999996,106465.71999999997,22101.7388123616,139.88333333333333,139.88333333333333,8393,target_rps140.00_iter01_rps139.88_lat.csv
3410,244572,24205.326437881144,12645.0,74773.89999999997,142157.51999999932,27508.64301383063,139.38333333333333,139.38333333333333,8363,target_rps140.00_iter02_rps139.38_lat.csv
3319,331225,23412.908688896856,11294.0,76444.69999999998,140124.0800000001,27962.368990056315,139.45,139.45,8367,target_rps140.00_iter03_rps139.45_lat.csv
3279,659618,33585.296572434505,18460.0,95170.19999999997,225955.3600000005,48194.9181152743,160.95,160.95,9657,target_rps160.00_iter01_rps160.95_lat.csv
3410,420853,32495.087203302373,21286.5,85953.04999999997,164662.60000000027,34710.99772284733,161.5,161.5,9690,target_rps160.00_iter02_rps161.50_lat.csv
3481,338660,34906.23954767092,23946.0,94779.60000000003,166134.5000000001,34918.26486215928,160.65,160.65,9639,target_rps160.00_iter03_rps160.65_lat.csv
3473,311034,48110.73637160386,39784.5,126911.2,202740.89999999994,40786.4872199669,190.16666666666666,190.16666666666666,11410,target_rps180.00_iter01_rps190.16_lat.csv
3200,474021,49713.15795514745,40239.0,129135.5,218981.25,45780.25655816662,188.76666666666668,188.76666666666668,11326,target_rps180.00_iter02_rps188.77_lat.csv
3280,379296,47895.20012218537,38695.0,127948.79999999999,199597.15,42594.75189540673,190.96666666666667,190.96666666666667,11458,target_rps180.00_iter03_rps190.97_lat.csv
3574,398655,59775.539762818276,48619.5,164685.0,262940.08999999997,52222.85377025287,191.13333333333333,191.13333333333333,11468,target_rps200.00_iter01_rps191.13_lat.csv
3290,441272,45410.570206077544,35776.5,118229.84999999983,233611.36999999988,44240.71466917406,190.86666666666667,190.86666666666667,11452,target_rps200.00_iter02_rps190.86_lat.csv
3406,306919,46479.870749494774,39386.0,116965.0,183294.8000000002,37899.663442203855,189.68333333333334,189.68333333333334,11381,target_rps200.00_iter03_rps189.68_lat.csv
3704,532461,74847.73941532258,65866.5,174202.15,269296.6699999999,54168.233577817104,231.46666666666667,231.46666666666667,13888,target_rps220.00_iter01_rps231.47_lat.csv
3714,357166,75480.0323480999,67257.0,176914.39999999994,234775.88000000018,50179.852647290754,232.88333333333333,232.88333333333333,13973,target_rps220.00_iter02_rps232.88_lat.csv
3525,539561,81698.27463825498,71259.0,186123.5,276046.50000000023,56138.575840380625,231.51666666666668,231.51666666666668,13891,target_rps220.00_iter03_rps231.51_lat.csv
3779,471492,83690.2965371128,71471.0,200121.15,289936.9999999987,59891.359192000615,228.13333333333333,228.13333333333333,13688,target_rps240.00_iter01_rps228.13_lat.csv
3467,545827,78696.38181418522,67758.0,191042.65,269473.3600000001,55035.44202685437,227.46666666666667,227.46666666666667,13648,target_rps240.00_iter02_rps227.46_lat.csv
3717,461096,75595.76231968953,66327.0,176793.59999999998,262451.64000000013,52420.18331105851,227.61666666666667,227.61666666666667,13657,target_rps240.00_iter03_rps227.61_lat.csv
4578,828156,146946.41169486495,126874.0,324977.6,505301.2800000007,94132.12464358898,280.75,280.75,16845,target_rps260.00_iter01_rps280.75_lat.csv
4302,842194,155963.2619684805,127792.0,408111.09999999986,576331.5200000003,112554.86595045762,280.25,280.25,16815,target_rps260.00_iter02_rps280.24_lat.csv
4741,867084,151328.4702970297,125391.5,363295.3999999999,518760.06999999855,102973.9282418942,282.8,282.8,16968,target_rps260.00_iter03_rps282.77_lat.csv
4180,604681,125669.88021833013,110261.5,269576.4999999999,382079.0600000001,75218.79561815989,277.8666666666667,277.8666666666667,16672,target_rps280.00_iter01_rps277.86_lat.csv
4022,713104,120230.96099964384,105830.5,254983.5,353949.75,73486.89540396212,280.76666666666665,280.76666666666665,16846,target_rps280.00_iter02_rps280.75_lat.csv
4100,595430,126752.59900234742,112483.5,266554.15,335563.9800000001,70634.27690668145,284.0,284.0,17040,target_rps280.00_iter03_rps283.95_lat.csv
4963,712223,139740.13158054158,123858.0,294942.1,395555.4800000005,79762.74569905883,275.1166666666667,275.1166666666667,16507,target_rps300.00_iter01_rps275.12_lat.csv
4858,689226,127877.50692785476,110070.0,281882.99999999994,391329.89999999997,79686.04010772676,279.06666666666666,279.06666666666666,16744,target_rps300.00_iter02_rps279.08_lat.csv
5146,691115,142228.75648971,123882.0,313953.09999999986,443303.70000000024,88483.6862347977,285.06666666666666,285.06666666666666,17104,target_rps300.00_iter03_rps285.06_lat.csv
5306,644162,134646.77033549146,112340.5,311771.19999999984,461200.0200000007,89501.56910329212,283.1666666666667,283.1666666666667,16990,target_rps320.00_iter01_rps283.16_lat.csv
4852,573948,150016.92547519703,136760.5,304292.5,399806.05000000005,79480.30158790185,287.6,287.6,17256,target_rps320.00_iter02_rps287.59_lat.csv
4482,766248,152789.63681473068,127880.0,357561.29999999993,561407.7800000003,103107.09400685217,278.78333333333336,278.78333333333336,16727,target_rps320.00_iter03_rps278.72_lat.csv
18412,4616836,1038703.2594135881,1109625.0,1854452.0999999999,2044086.0800000033,528902.985966418,327.98333333333335,327.98333333333335,19679,target_rps340.00_iter01_rps327.81_lat.csv
11618,5558875,1511322.216900981,1521298.5,2856305.2,3095510.5700000003,821805.7845086891,329.56666666666666,329.56666666666666,19774,target_rps340.00_iter02_rps329.55_lat.csv
14803,3781870,1077540.3228224476,1172303.0,1609413.0,2034305.3000000084,443984.1805546819,333.51666666666665,333.51666666666665,20011,target_rps340.00_iter03_rps333.52_lat.csv
14512,6423143,1491345.4475672408,1490587.5,2777796.449999999,3408607.7200000035,853364.7315704353,330.9,330.9,19854,target_rps360.00_iter01_rps330.86_lat.csv
13942,5936112,1284984.5848620394,1297225.0,2360077.4,2824677.440000002,775316.6424572362,331.6166666666667,331.6166666666667,19897,target_rps360.00_iter02_rps331.52_lat.csv
11100,3531646,904374.5875276335,839249.0,1726133.0,1955553.0,522988.35525092366,324.18333333333334,324.18333333333334,19451,target_rps360.00_iter03_rps324.18_lat.csv
15828,10051918,2437243.546132903,2918762.5,3864315.6999999997,6207516.259999975,1377722.4704857566,330.56666666666666,330.56666666666666,19834,target_rps380.00_iter01_rps330.55_lat.csv
12369,3557014,796903.1347397597,646054.0,1744986.5000000002,1955801.13,534301.4633067258,324.7,324.7,19482,target_rps380.00_iter02_rps324.69_lat.csv
12171,1420016,470188.04236850265,454577.0,900976.0999999993,1062438.4700000002,238498.3529834686,322.56666666666666,322.56666666666666,19354,target_rps380.00_iter03_rps322.54_lat.csv
11774,6896888,2030884.297343219,2419382.0,3416751.95,3614599.120000001,1232099.7799944282,323.7,323.7,19422,target_rps400.00_iter01_rps323.68_lat.csv
12276,2150231,627419.8190908628,576717.0,1307194.0,1476939.0,390079.25818526006,326.68333333333334,326.68333333333334,19601,target_rps400.00_iter02_rps326.65_lat.csv
9758,4903778,1375136.238379814,1332339.5,2723817.8999999994,2951361.05,752267.7609033963,326.3,326.3,19578,target_rps400.00_iter03_rps326.30_lat.csv
10472,7744951,1873792.6717652334,2184969.0,3157298.5,3454786.8,963006.7638135874,334.51666666666665,334.51666666666665,20071,target_rps420.00_iter01_rps334.48_lat.csv
13183,3167104,954452.0425274614,804428.5,1852049.5,1997506.4,566269.7915071248,330.76666666666665,330.76666666666665,19846,target_rps420.00_iter02_rps330.74_lat.csv
11964,4827231,1128924.6144945188,986574.0,2172506.2499999995,2597630.4400000083,670820.6231666818,328.4,328.4,19704,target_rps420.00_iter03_rps328.37_lat.csv
11247,7399760,2072983.9647600125,2463852.5,3235455.75,3433336.75,1073726.1595501413,318.76666666666665,318.76666666666665,19126,target_rps440.00_iter01_rps318.81_lat.csv
10643,2507578,706893.8873475371,678732.0,1333390.7999999998,1585538.7599999998,395865.8697870307,318.3833333333333,318.3833333333333,19103,target_rps440.00_iter02_rps318.34_lat.csv
5597,5029471,1491195.707592392,1368609.0,2716325.0,2889161.0,821233.1546517552,323.35,323.35,19401,target_rps440.00_iter03_rps323.27_lat.csv
15617,3495577,1150041.3743710853,1194588.5,2041200.2,2218108.0799999996,621937.9092589432,324.6333333333333,324.6333333333333,19478,target_rps460.00_iter01_rps324.31_lat.csv
8620,4318882,1406208.4936555573,1660975.0,2501391.9999999995,2720417.8799999966,845166.7028273133,316.55,316.55,18993,target_rps460.00_iter02_rps316.51_lat.csv
10820,2675877,961368.2630221763,1110307.5,1491227.8,1635125.0600000003,438630.94037357165,323.1666666666667,323.1666666666667,19390,target_rps460.00_iter03_rps323.13_lat.csv
11251,7508930,2398446.450857143,2805126.5,4067160.4,4284722.949999999,1424966.132140069,320.8333333333333,320.8333333333333,19250,target_rps480.00_iter01_rps320.83_lat.csv
10502,3607803,1205411.1166929135,1304395.0,2152018.15,2370224.2199999993,653427.9427894151,317.5,317.5,19050,target_rps480.00_iter02_rps317.50_lat.csv
