rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b3,3,1200.0,0.0,1200,1200,4983.333333333333,19.295940851208407,4968,5005,82484.33333333333,40975.49829267892,51932,129048,9274.2225,396.6743859052827,8890.265833333333,9682.495833333332,7518.0,260.7676168545473,7360.5,7819.0,18751.81666666666,1098.5259411289844,17591.649999999994,19776.04999999998,32057.876666666663,2728.0182330096973,29697.239999999994,35044.47,20.0,0.0,20.0,20.0,1200.0,4983.333333333333,82484.33333333333,9274.2225,7518.0,18751.81666666666,32057.876666666663,20.0
40,60,fibonacci_python_b3,3,2395.6666666666665,6.658328118479393,2388,2400,4468.666666666667,30.43572462310259,4434,4491,192615.66666666666,172070.61185842668,85381,391091,8999.20414118,192.7130272657769,8864.860416666666,9220.005862646567,7162.666666666667,145.77065319649677,7015.5,7307.0,17960.616666666665,369.05865500396004,17558.9,18284.649999999998,32439.98333333334,2674.1905702162485,30660.79999999998,35515.250000000044,39.92777777777778,0.11097213530799176,39.8,40.0,2395.6666666666665,4468.666666666667,192615.66666666666,8999.20414118,7162.666666666667,17960.616666666665,32439.98333333334,39.92777777777778
60,60,fibonacci_python_b3,3,3745.0,2.0,3743,3747,4239.333333333333,155.42307850938138,4060,4335,79715.0,20181.637520280656,60308,100591,8641.954466054758,173.79179966764744,8441.653671562082,8752.748331998933,6935.666666666667,123.6136454172165,6796.0,7031.0,18244.199999999993,451.7799575014354,17756.999999999996,18649.299999999996,30554.553333333326,1902.105937147904,28972.479999999996,32664.97999999998,62.416666666666664,0.03333333333333499,62.38333333333333,62.45,3745.0,4239.333333333333,79715.0,8641.954466054758,6935.666666666667,18244.199999999993,30554.553333333326,62.416666666666664
80,60,fibonacci_python_b3,3,4980.0,1.7320508075688772,4979,4982,3951.3333333333335,85.52387580864968,3867,4038,164256.0,123792.45595350309,62382,302031,8853.047717918269,207.7891446549967,8647.93372163085,9063.412484945806,6916.666666666667,182.57692442730362,6706.0,7029.0,19255.116666666658,833.8700143507563,18455.1,20119.149999999994,32402.886666666684,1615.3099970386797,31141.44000000004,34223.47999999992,83.0,0.028867513459479646,82.98333333333333,83.03333333333333,4980.0,3951.3333333333335,164256.0,8853.047717918269,6916.666666666667,19255.116666666658,32402.886666666684,83.0
100,60,fibonacci_python_b3,3,5962.333333333333,8.621678104251709,5953,5970,3738.3333333333335,106.32654105788137,3643,3853,86492.33333333333,14672.211978203331,76960,103388,8365.078783358224,156.54497922268638,8193.527162977867,8500.188777219431,6577.833333333333,115.332490363008,6448.5,6670.0,18249.81666666666,465.8431665628919,17812.74999999998,18739.9,31027.300000000014,317.8839228397875,30746.22,31372.280000000035,99.37222222222222,0.14369463507086133,99.21666666666667,99.5,5962.333333333333,3738.3333333333335,86492.33333333333,8365.078783358224,6577.833333333333,18249.81666666666,31027.300000000014,99.37222222222222
120,60,fibonacci_python_b3,3,7382.666666666667,29.50141239556732,7353,7412,3864.6666666666665,160.07914709084795,3680,3964,141150.66666666666,52109.68447739186,84395,186835,8837.867478987668,206.90115202677714,8599.548974635725,8971.563050250576,6643.5,36.010415160061676,6604.0,6674.5,19979.26666666666,754.8163308602549,19221.59999999999,20731.199999999997,34832.24999999999,2754.3139043507795,31872.130000000005,37319.54000000003,123.04444444444444,0.49169020659278917,122.55,123.53333333333333,7382.666666666667,3864.6666666666665,141150.66666666666,8837.867478987668,6643.5,19979.26666666666,34832.24999999999,123.04444444444444
140,60,fibonacci_python_b3,3,8441.0,13.114877048604,8429,8455,3770.6666666666665,91.2487442835973,3695,3872,103593.66666666667,13252.95847474568,90182,116682,9013.180958793042,172.29853649956408,8842.270174191255,9186.834499940682,6745.333333333333,147.86931166855865,6638.0,6914.0,21216.76666666665,549.4672905035503,20599.0,21650.899999999954,38176.613333333335,2115.1028398006856,36132.120000000185,40355.879999999976,140.6833333333333,0.2185812841434006,140.48333333333332,140.91666666666666,8441.0,3770.6666666666665,103593.66666666667,9013.180958793042,6745.333333333333,21216.76666666665,38176.613333333335,140.6833333333333
160,60,fibonacci_python_b3,3,9747.333333333334,16.56301099840646,9730,9763,3651.3333333333335,130.50798187595015,3536,3793,89022.66666666667,10568.658871083566,80333,100788,9182.772966098071,78.16632959679865,9097.626423222895,9251.279319881183,7101.666666666667,73.36438736426096,7018.0,7155.0,21002.966666666664,370.8416957858573,20639.2,21380.499999999993,34757.609999999935,1383.675723968619,33821.000000000015,36346.90999999998,162.45555555555555,0.2760501833067795,162.16666666666666,162.71666666666667,9747.333333333334,3651.3333333333335,89022.66666666667,9182.772966098071,7101.666666666667,21002.966666666664,34757.609999999935,162.45555555555555
180,60,fibonacci_python_b3,3,11523.666666666666,27.006172134038792,11497,11551,3599.3333333333335,33.50124375800596,3563,3629,168221.33333333334,44676.1867479011,133841,218720,10958.896070331806,443.1728447072675,10512.327504112198,11398.593285204835,8286.0,325.53494436081667,8010.0,8645.0,26160.099999999995,862.4752228325126,25205.5,26883.19999999999,44705.01333333334,2845.7352513073574,41507.0,46958.03999999998,192.06111111111113,0.4501028689006494,191.61666666666667,192.51666666666668,11523.666666666666,3599.3333333333335,168221.33333333334,10958.896070331806,8286.0,26160.099999999995,44705.01333333334,192.06111111111113
200,60,fibonacci_python_b3,3,11532.0,64.25729530566937,11484,11605,3722.3333333333335,219.62088546705507,3469,3859,202191.33333333334,87100.95793005571,141221,301948,10675.05174417591,464.8734042666333,10147.382766049117,11024.217172156079,8197.333333333334,325.5170246443853,7830.0,8450.0,24490.066666666666,1110.0606349805068,23283.8,25468.59999999999,41940.47333333334,3569.9789582760254,38113.91999999998,45181.48000000005,192.20000000000002,1.0709549217611491,191.4,193.41666666666666,11532.0,3722.3333333333335,202191.33333333334,10675.05174417591,8197.333333333334,24490.066666666666,41940.47333333334,192.20000000000002
