runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,20.0,20.0,10.7026525,9.117,19.12705,30.9099,5.91,165.424,1200,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,10.7026525
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,40.0,40.0,9.821421666666668,8.4585,17.438449999999996,26.242119999999925,5.172,112.748,2400,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,9.821421666666668
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,60.0,62.47,9.402373799359658,7.891,18.708449999999967,27.66077,4.878,64.89,3748,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,9.402373799359658
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,80.0,82.81,10.442939826926947,8.006,21.378799999999988,49.60403999999996,4.736,227.851,4969,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,10.442939826926947
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,100.0,99.28,10.027449387275476,7.798,22.132,39.04387999999999,4.401,124.961,5957,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,10.027449387275476
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,120.0,122.17,11.511237893875323,8.913,26.2795,40.55029999999999,4.531,111.215,7331,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,11.511237893875323
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,140.0,138.51,10.894453736012514,8.684,23.558,39.38099999999999,4.232,133.218,8311,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,10.894453736012514
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,160.0,157.35,13.455761254104438,10.333,31.762,52.62840000000004,4.291,197.72,9441,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,13.455761254104438
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,180.0,186.15,13.33897654431513,10.362,31.00834999999997,49.83668999999996,4.495,190.643,11170,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,13.33897654431513
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,200.0,186.46,13.65168707543797,10.4655,32.19269999999999,53.94375999999964,4.125,187.726,11188,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,13.65168707543797
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,220.0,227.73,14.501427034543324,11.023,34.53194999999999,55.61174,4.129,213.604,13664,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,14.501427034543324
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,240.0,222.83,17.36334981301421,13.6655,40.66349999999999,64.53596999999996,4.043,151.735,13370,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,17.36334981301421
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,260.0,273.61,22.869494670158986,16.268,60.82259999999996,103.40004,4.274,290.339,16417,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,22.869494670158986
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,280.0,272.23,25.949472060713628,17.75,72.42209999999997,139.27009999999984,4.496,332.131,16339,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,25.949472060713628
python,b2,"Balanced (4 pods, 250m)",4,250,1000,10,300.0,263.06,25.34566924050633,19.1735,61.16134999999999,108.62868000000002,4.175,358.547,15800,results_fibonacci_python_b2,72.09253112033196,21.49126361514523,4.0,25.34566924050633
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,20.0,20.0,9.984550833333332,8.522,18.470249999999982,27.9351,5.873,143.069,1200,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,9.984550833333332
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,40.0,40.0,8.7623625,7.4935,15.99815,24.30312999999997,4.783,99.144,2400,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,8.7623625
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,60.0,62.45,8.820158526821457,7.493,16.783499999999997,26.616859999999992,3.823,111.36,3747,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,8.820158526821457
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,80.0,82.97,9.591114503816794,7.3405,20.6603,39.0793299999998,4.345,185.049,4978,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,9.591114503816794
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,100.0,99.28,8.88965351687091,7.242,17.557399999999998,29.711959999999998,4.122,117.867,5957,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,8.88965351687091
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,120.0,123.26,9.645687170474517,7.484,21.299,38.13703999999999,3.526,149.338,7397,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,9.645687170474517
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,140.0,138.65,10.819448611611971,8.256,23.7994,43.00915999999987,3.83,187.904,8319,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,10.819448611611971
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,160.0,160.18,11.487831443138072,8.162,27.2295,57.54679999999999,3.808,339.148,9611,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,11.487831443138072
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,180.0,187.22,13.989455354758302,10.331,34.9804,62.77076000000003,3.799,185.698,11233,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,13.989455354758302
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,200.0,188.26,13.244804266997168,9.1615,36.42725,68.23919999999994,3.685,149.714,11296,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,13.244804266997168
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,220.0,223.83,21.82733864482502,14.779,59.843649999999954,109.38281999999953,3.593,234.573,13430,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,21.82733864482502
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,240.0,223.68,19.410522464793974,12.854,54.975,96.85879999999987,3.599,250.894,13421,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,19.410522464793974
