runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,20.0,10.0,7.049809166666667,7.155,15.9528,24.84862,1.508,52.755,1200,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,40.0,20.0,6.7417925,6.7295,14.48929999999998,25.824459999999966,1.161,65.996,2400,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,60.0,31.22,6.227625467164976,6.3225,13.47,23.20395000000003,1.221,63.999,3746,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,80.0,41.48,6.367320409803134,6.3795,14.06464999999998,22.65571999999997,1.031,77.255,4978,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,100.0,49.65,6.174609498237959,6.118,13.8763,23.916400000000003,1.022,70.492,5959,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,120.0,61.0,7.372046851523016,6.513,17.902,31.75380000000004,1.044,232.044,7321,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,140.0,69.88,6.49613628234172,5.981,15.236199999999998,25.489519999999988,0.948,69.145,8387,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,160.0,80.83,6.636598598082672,5.994,16.169,26.273,0.975,98.646,9701,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,180.0,94.48,7.630877579820074,6.121,20.34375,38.45430999999997,0.952,139.445,11338,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,200.0,95.73,6.908481462140992,5.9625,16.623349999999974,29.169420000000013,1.017,214.037,11490,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,220.0,115.53,8.083447169130906,6.35,20.6696,39.79596000000011,1.022,151.004,13865,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,240.0,116.28,8.200216553206735,6.437,21.7881,40.30946,1.005,108.746,13955,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,260.0,140.74,15.886095872564692,8.675,58.92849999999997,105.49665999999996,1.009,233.128,16887,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,280.0,138.76,18.0377463815987,9.955,64.3725,111.23,1.039,268.949,16651,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b2,"Dual Pod (2 pods, 500m)",2,500,1000,100,300.0,141.63,15.71850911764706,9.3135,53.33425,95.41242999999992,0.974,1026.988,17000,results_fibonacci_python_b2,37.766296296296304,10.657913773148149,2.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,20.0,10.0,7.003196666666667,7.03,15.1195,24.867739999999998,1.54,68.688,1200,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,40.0,19.98,6.652080867027928,6.82,14.8466,23.984499999999997,1.062,79.128,2399,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,60.0,31.2,6.808479166666667,6.382,16.13564999999999,31.450350000000025,1.176,124.815,3744,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,80.0,41.43,6.651182988135934,6.038,16.034399999999998,27.261959999999984,1.028,196.495,4973,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,100.0,49.57,6.029709145931405,5.785,14.1803,23.576129999999992,0.957,66.921,5948,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,120.0,61.58,6.54172818292518,5.659,15.387,32.45190000000007,0.967,182.118,7391,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,140.0,69.47,6.857798464491363,5.739,17.92825,34.84249999999996,1.042,88.898,8336,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,160.0,80.87,6.690637712519321,5.557,17.1562,33.39875999999993,0.965,115.683,9705,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,180.0,95.63,7.25832499782173,5.569,18.91819999999998,46.035799999999966,0.942,192.402,11477,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,200.0,95.07,8.787880445262513,6.089,24.55060000000001,63.80376,1.01,252.818,11409,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
