rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
1,120,fibonacci_120rps_maxscale10,120,7.25,70.75,13.37,11.69,25.57,32.06,1.0
5,120,fibonacci_120rps_maxscale10,600,6.67,73.56,11.9,10.51,22.46,30.19,5.0
10,120,fibonacci_120rps_maxscale10,1200,7.03,72.98,11.33,9.85,20.3,33.47,10.0
15,120,fibonacci_120rps_maxscale10,1819,6.1,111.88,10.74,9.28,19.53,30.38,15.16
20,120,fibonacci_120rps_maxscale10,2400,5.83,88.44,10.11,9.05,16.64,28.07,20.0
25,120,fibonacci_120rps_maxscale10,3000,5.71,117.96,10.37,9.02,19.27,30.72,25.0
30,120,fibonacci_120rps_maxscale10,3637,5.91,100.35,10.2,8.92,17.05,30.54,30.31
35,120,fibonacci_120rps_maxscale10,4285,5.76,96.5,10.12,8.73,17.66,32.85,35.71
40,120,fibonacci_120rps_maxscale10,4799,5.69,155.56,10.33,8.85,19.93,33.03,39.99
45,120,fibonacci_120rps_maxscale10,5452,5.91,190.44,11.15,8.96,21.07,52.85,45.43
50,120,fibonacci_120rps_maxscale10,5997,5.59,128.58,10.63,8.84,20.63,40.65,49.97
60,120,fibonacci_120rps_maxscale10,7493,5.62,188.42,10.91,8.72,22.36,43.74,62.44
70,120,fibonacci_120rps_maxscale10,8545,5.24,191.49,10.86,8.66,22.93,41.71,71.21
80,120,fibonacci_120rps_maxscale10,9962,5.23,234.52,12.5,8.71,29.75,80.32,83.02
90,120,fibonacci_120rps_maxscale10,10815,4.7,249.58,13.23,8.75,31.12,92.43,90.12
100,120,fibonacci_120rps_maxscale10,11834,4.74,155.71,13.44,8.87,36.6,77.2,98.62
110,120,fibonacci_120rps_maxscale10,13101,4.75,382.27,17.03,10.39,48.12,110.76,109.17
120,120,fibonacci_120rps_maxscale10,14625,4.7,348.3,21.37,12.92,57.83,123.56,121.87
