filename,total_requests,min_latency_ms,max_latency_ms,average_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
rps5.00_lat.csv,300,5.573,29.921,8.72374,7.4995,16.6019,20.519999999999992,5.0
rps25.00_lat.csv,1500,3.742,40.2,7.077464666666667,6.229,12.362849999999998,21.112599999999997,25.0
rps50.00_lat.csv,3000,3.119,77.895,6.894740333333333,5.908,12.61869999999999,23.55384999999972,50.0
rps76.83_lat.csv,4610,3.101,109.484,7.1650492407809105,5.6945,14.227450000000008,30.843839999999954,76.83
rps99.52_lat.csv,5971,2.961,115.569,7.811766705744431,5.45,19.065,56.76420000000004,99.52
rps110.45_lat.csv,6627,2.839,122.939,8.610330013580805,5.527,22.420199999999998,67.54093999999984,110.45
rps110.45_lat.csv,6627,2.839,122.939,8.610330013580805,5.527,22.420199999999998,67.54093999999984,110.45
rps123.68_lat.csv,7422,2.851,153.202,9.820427782268931,5.583,33.70804999999998,73.82374999999999,123.68
rps123.82_lat.csv,7429,2.928,676.2,34.822002692152374,6.609,194.1593999999999,327.67596000000003,123.82
rps140.97_lat.csv,8458,2.956,422.396,34.22647789075432,9.586,161.93169999999995,211.2516800000001,140.97
rps146.72_lat.csv,8803,4.453,11444.93,3469.3527245257296,3384.287,6128.3948,6224.56416,146.72
rps146.72_lat.csv,8803,4.453,11444.93,3469.3527245257296,3384.287,6128.3948,6224.56416,146.72
