rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
10.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,600,5.95,48.95,9.49,8.3,15.67,23.49,10.0
20.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,1200,5.56,46.23,9.06,7.84,16.55,23.39,20.0
30.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,1818,4.41,108.15,8.69,7.36,16.42,23.84,30.3
40.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,2400,4.75,76.48,8.67,7.27,16.33,27.41,40.0
50.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,3000,4.0,83.97,8.47,7.05,16.95,26.49,50.0
60.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,3745,3.41,158.91,9.83,7.45,21.18,45.14,62.42
70.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,4276,4.24,96.75,8.77,7.1,17.29,31.43,71.27
80.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,4980,3.9,213.47,9.59,7.17,20.21,49.82,83.0
90.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,5410,3.87,152.46,10.43,7.26,26.76,54.28,90.17
100.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,5955,3.68,225.58,10.62,7.2,23.8,66.28,99.25
110.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,6570,3.52,193.64,11.73,7.37,34.73,67.17,109.5
120.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,7354,3.24,323.15,14.84,8.47,45.72,95.01,122.57
140.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,8331,3.18,203.91,18.65,9.79,60.7,96.27,138.85
160.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,9637,3.44,301.88,27.67,16.14,82.93,153.31,160.62
180.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,11251,3.53,464.8,30.48,14.11,104.73,228.45,187.52
200.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,11308,3.81,374.37,41.36,28.25,120.78,176.61,188.47
220.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,13403,4.21,297.71,46.58,27.02,143.38,197.35,223.38
240.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,13522,3.8,344.36,41.81,24.24,129.17,246.57,225.35
260.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,16589,4.17,3719.22,787.78,665.63,1762.24,2103.39,276.47
280.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,16291,4.27,941.64,94.2,35.41,448.19,612.47,271.53
300.0,60,fibonacci_baseline_contconcurrency20_maxscale10_till300rps,16224,6.09,7606.49,1906.95,2122.96,2642.39,2707.55,270.4
