rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
10.0,60,fibonacci_baseline_contconcurrency20_till300rps,600,5.74,39.45,8.9,7.93,15.07,24.15,10.0
20.0,60,fibonacci_baseline_contconcurrency20_till300rps,1200,5.56,85.73,9.68,7.97,19.59,30.98,20.0
30.0,60,fibonacci_baseline_contconcurrency20_till300rps,1819,4.69,77.02,8.62,7.35,15.32,25.59,30.32
40.0,60,fibonacci_baseline_contconcurrency20_till300rps,2400,4.63,85.12,8.53,7.17,16.24,24.09,40.0
50.0,60,fibonacci_baseline_contconcurrency20_till300rps,2999,4.31,157.32,8.72,7.2,15.79,26.13,49.98
60.0,60,fibonacci_baseline_contconcurrency20_till300rps,3743,3.92,129.97,9.76,7.37,20.88,52.68,62.37
70.0,60,fibonacci_baseline_contconcurrency20_till300rps,4279,3.9,166.02,9.42,7.26,20.39,42.07,71.32
80.0,60,fibonacci_baseline_contconcurrency20_till300rps,4983,3.97,142.95,8.98,7.1,18.3,35.61,83.05
90.0,60,fibonacci_baseline_contconcurrency20_till300rps,5423,3.75,112.59,9.45,7.02,22.21,45.53,90.4
100.0,60,fibonacci_baseline_contconcurrency20_till300rps,5949,3.77,176.6,11.08,7.57,28.79,64.18,99.15
110.0,60,fibonacci_baseline_contconcurrency20_till300rps,6611,3.58,297.62,12.17,7.33,32.33,83.39,110.18
120.0,60,fibonacci_baseline_contconcurrency20_till300rps,7334,3.71,208.59,18.72,10.01,60.48,108.33,122.25
140.0,60,fibonacci_baseline_contconcurrency20_till300rps,8310,3.48,180.31,18.94,10.46,60.1,97.69,138.5
160.0,60,fibonacci_baseline_contconcurrency20_till300rps,9619,3.26,251.19,26.46,15.39,75.94,142.97,160.31
180.0,60,fibonacci_baseline_contconcurrency20_till300rps,11442,3.33,382.58,40.69,29.82,111.07,201.65,190.7
200.0,60,fibonacci_baseline_contconcurrency20_till300rps,11283,3.67,296.29,44.65,35.8,118.58,182.17,188.05
220.0,60,fibonacci_baseline_contconcurrency20_till300rps,13594,3.65,371.06,30.12,15.82,92.07,243.78,226.55
240.0,60,fibonacci_baseline_contconcurrency20_till300rps,13718,3.74,357.66,58.22,48.68,153.41,222.35,228.63
260.0,60,fibonacci_baseline_contconcurrency20_till300rps,16699,3.65,2076.04,250.81,51.54,972.71,1148.86,278.32
280.0,60,fibonacci_baseline_contconcurrency20_till300rps,15707,3.93,3751.07,685.69,316.41,1795.19,2138.92,261.68
300.0,60,fibonacci_baseline_contconcurrency20_till300rps,16339,3.9,2649.49,333.12,199.65,977.0,1279.71,272.3
