rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
10.0,60,fibonacci_testsetA_1,600,5.82,121.33,9.71,8.31,17.41,28.7,10.0
20.0,60,fibonacci_testsetA_1,1200,5.48,216.06,9.17,7.69,16.49,23.5,20.0
30.0,60,fibonacci_testsetA_1,1818,5.11,67.75,8.88,7.68,16.23,27.88,30.3
40.0,60,fibonacci_testsetA_1,2400,4.69,98.61,8.53,7.23,15.94,23.82,40.0
50.0,60,fibonacci_testsetA_1,3000,5.0,111.72,10.6,8.36,22.77,43.73,50.0
60.0,60,fibonacci_testsetA_1,3747,4.78,110.96,9.48,7.97,18.46,31.12,62.45
70.0,60,fibonacci_testsetA_1,4277,4.39,133.91,8.95,7.43,17.13,30.01,71.28
80.0,60,fibonacci_testsetA_1,4977,4.43,109.73,10.15,8.0,21.45,38.57,82.95
90.0,60,fibonacci_testsetA_1,5425,3.79,88.63,8.85,7.29,18.09,28.0,90.42
100.0,60,fibonacci_testsetA_1,5946,3.56,218.03,10.26,7.45,24.48,51.43,99.1
110.0,60,fibonacci_testsetA_1,6579,3.89,98.08,9.65,7.52,21.01,38.01,109.65
120.0,60,fibonacci_testsetA_1,7365,3.93,171.03,10.3,7.96,22.32,39.61,122.75
140.0,60,fibonacci_testsetA_1,8282,3.9,177.42,11.84,8.22,32.09,64.51,138.03
160.0,60,fibonacci_testsetA_1,9599,3.7,177.14,11.74,9.09,26.54,46.32,159.94
180.0,60,fibonacci_testsetA_1,11257,3.87,187.06,13.65,9.71,35.2,62.57,187.62
200.0,60,fibonacci_testsetA_1,11312,3.27,156.68,12.77,9.21,32.59,57.26,188.53
220.0,60,fibonacci_testsetA_1,13475,3.59,197.78,18.16,12.61,51.34,86.21,224.57
240.0,60,fibonacci_testsetA_1,13921,3.57,240.86,15.41,10.23,42.94,75.36,232.0
260.0,60,fibonacci_testsetA_1,16726,3.79,345.47,32.6,23.82,86.42,141.62,278.66
280.0,60,fibonacci_testsetA_1,16185,3.93,1091.59,32.51,24.0,85.89,131.99,269.75
300.0,60,fibonacci_testsetA_1,16214,3.6,300.88,32.0,24.4,80.81,127.6,270.23
