rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
5.0,60,fibonacci_baseline_maxthroughput_1,300,6.86,5598.4,291.23,9.71,2745.42,5019.64,5.0
25.0,60,fibonacci_baseline_maxthroughput_1,1500,5.73,217.01,9.98,8.18,17.89,27.98,25.0
50.0,60,fibonacci_baseline_maxthroughput_1,3000,4.16,58.43,9.06,7.66,17.58,28.77,50.0
75.0,60,fibonacci_baseline_maxthroughput_1,4602,4.05,219.19,12.43,7.6,32.17,108.61,76.7
100.0,60,fibonacci_baseline_maxthroughput_1,5922,4.09,134.91,15.33,8.41,57.2,89.22,98.7
105.0,60,fibonacci_baseline_maxthroughput_1,6525,3.82,352.17,26.82,11.43,104.09,169.75,108.75
110.0,60,fibonacci_baseline_maxthroughput_1,6539,3.58,219.42,26.96,11.18,102.85,146.74,108.98
115.0,60,fibonacci_baseline_maxthroughput_1,7044,3.73,3812.03,793.68,651.2,1897.66,2169.91,117.4
120.0,60,fibonacci_baseline_maxthroughput_1,7080,4.41,4050.37,863.64,881.07,1953.04,2075.64,117.98
125.0,60,fibonacci_baseline_maxthroughput_1,7226,4.14,3024.91,767.06,792.88,1475.04,1582.18,120.43
130.0,60,fibonacci_baseline_maxthroughput_1,7285,4.94,14499.63,3771.86,3574.87,7438.46,7559.71,121.4
135.0,60,fibonacci_baseline_maxthroughput_1,7144,4.61,18218.43,4217.97,4662.95,7663.9,8104.16,119.06
140.0,60,fibonacci_baseline_maxthroughput_1,6928,5.18,17631.9,4541.41,4367.27,8951.25,9658.5,115.46
145.0,60,fibonacci_baseline_maxthroughput_1,6944,5.03,28481.17,8345.78,8567.24,15918.96,16371.47,115.73
150.0,60,fibonacci_baseline_maxthroughput_1,6960,4.12,27579.61,8029.97,7957.32,15275.74,15889.81,115.99
