rps,duration,test_title,total_requests,min_latency_ms,max_latency_ms,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
20.0,60,fibonacci_baseline_maxthroughput_1_finegrain,1200,6.12,71.96,9.98,8.6,17.9,28.67,20.0
40.0,60,fibonacci_baseline_maxthroughput_1_finegrain,2400,4.88,61.67,9.32,7.98,17.39,28.16,40.0
60.0,60,fibonacci_baseline_maxthroughput_1_finegrain,3748,4.02,160.6,10.22,7.7,21.5,56.75,62.46
80.0,60,fibonacci_baseline_maxthroughput_1_finegrain,4972,3.86,195.31,11.68,7.11,32.5,96.54,82.87
90.0,60,fibonacci_baseline_maxthroughput_1_finegrain,5418,3.89,138.66,12.78,7.66,40.94,76.62,90.3
95.0,60,fibonacci_baseline_maxthroughput_1_finegrain,5933,3.88,256.72,20.94,9.15,85.13,147.82,98.88
100.0,60,fibonacci_baseline_maxthroughput_1_finegrain,5937,3.68,149.42,16.25,8.21,63.15,105.5,98.95
102.0,60,fibonacci_baseline_maxthroughput_1_finegrain,6554,3.65,963.56,56.71,15.31,236.59,567.66,109.23
104.0,60,fibonacci_baseline_maxthroughput_1_finegrain,6551,3.71,520.88,37.62,10.45,176.86,275.41,109.18
106.0,60,fibonacci_baseline_maxthroughput_1_finegrain,6549,3.86,436.53,29.66,9.75,114.18,291.54,109.15
108.0,60,fibonacci_baseline_maxthroughput_1_finegrain,6579,3.84,291.16,31.65,9.72,134.4,222.69,109.65
110.0,60,fibonacci_baseline_maxthroughput_1_finegrain,6581,3.69,411.7,24.7,8.91,103.88,239.32,109.68
112.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7331,3.73,1279.95,185.98,107.55,630.53,687.51,122.18
114.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7311,3.83,1820.34,235.67,70.46,973.07,1192.69,121.84
116.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7214,3.92,3074.41,608.96,212.16,1539.38,1597.6,120.23
118.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7334,3.86,1255.27,180.62,122.47,525.75,644.33,122.23
120.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7328,3.83,708.22,113.49,97.59,286.56,353.73,122.13
122.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7309,4.44,1805.5,435.89,397.61,933.29,1006.83,121.81
124.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7304,3.64,1463.94,182.02,59.59,700.4,782.23,121.73
126.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7641,4.79,9173.33,2348.8,2169.74,4919.45,5138.13,127.34
128.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7137,4.99,14684.59,3916.51,3789.04,7963.31,8239.29,118.95
130.0,60,fibonacci_baseline_maxthroughput_1_finegrain,7539,4.83,10390.87,2809.49,2619.43,5330.9,5526.89,125.65
